data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7083881,887,YEM52036,52036,"01 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Bayda","As Sawmaah",,"As Sawmaah",14.0851,45.801,2,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 1 May 2020, pro-Hadi and ""Resistance"" fighters reportedly thwarted pro-Houthi incursions in Al Wahbiyah (As Sawadiyah, Al Bayda), Al Humayqan (Dhi Naim, Al Bayda) and Al Hazamiyah (As Sawmaah) frontlines, killing and injuring several pro-Houthi fighters. Unknown number of fatalitie coded as 10 and split up between 3 events.",3,1589248044,YEM
7083880,887,YEM52035,52035,"01 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Popular Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Bayda","As Sawadiyah",,"Al Wahabiyah",14.4598,45.362,2,"Yemen Data Project; Khabar News Agency (Yemen)","Local partner-National","On 1 May 2020, pro-Hadi and ""Resistance"" fighters reportedly thwarted pro-Houthi incursions in Al Wahbiyah (As Sawadiyah, Al Bayda), Al Humayqan (Dhi Naim, Al Bayda) and Al Hazamiyah (As Sawmaah) frontlines, killing and injuring several pro-Houthi fighters. Unknown number of fatalitie coded as 10 and split up between 3 events.",4,1589248044,YEM
7079491,887,YEM52137,52137,"01 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Marib,Majzar,,"Al Marazah",15.9086,44.8492,1,Twitter,"New media","On 1 May 2020, clashes were reported between pro-Hadi forces and affiliates on one side and pro-Houthi forces on the other in Al Marazah area east of the Marib-Al Jawf road (Majzar, Marib) with no report of fatalities nor injuries.",0,1589229241,YEM
7079485,887,YEM52139,52139,"01 May 2020",2020,1,"Strategic developments","Change to group/activity","Military Forces of Yemen (2012-) Security Belt Forces","STC: Southern Transitional Council",1,,,0,10,"Middle East",Yemen,Suqutra,Hidaybu,,Hadibu,12.6501,54.0223,2,Twitter,"New media","On 1 May 2020, pro-STC forces, coded as Security Belt forces by default due to the lack of more precise information, reportedly besieged the region of Hadibu (Hidaybu, Suqutra), capital city of Socotra island, from both the east and the west, and gave hours to pro-Hadi forces to surrender.",0,1589229241,YEM
7079484,887,YEM52138,52138,"01 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Marib,Sirwah,,"Al Atif",15.4874,45.1624,1,Twitter,"New media","On 1 May 2020, clashes were reported between pro-Hadi forces and affiliates on one side and pro-Houthi forces on the other in Al Atif area located to the west of Marib city (Sirwah, Marib) with no report of fatalities nor injuries.",0,1589229241,YEM
7074433,887,YEM52032,52032,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,,,0,10,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Al Fajir",13.8667,44.6,2,"Aden al Ghad",National,"On 1 May 2020, Houthi forces reportedly shelled civilian areas of Salim [Al Fajir] (Qaatabah, Ad Dali) and Shib Human (Qaatabah, Ad Dali) with no reports of injuries or fatalities.",0,1588614088,YEM
7074426,887,YEM52034,52034,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,,,0,10,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Shib Human",13.9333,44.6333,1,"Aden al Ghad",National,"On 1 May 2020, Houthi forces reportedly shelled civilian areas of Salim [Al Fajir] (Qaatabah, Ad Dali) and Shib Human (Qaatabah, Ad Dali) with no reports of injuries or fatalities.",0,1588614088,YEM
7074387,887,YEM52049,52049,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Civilians (Yemen)",,7,17,"Middle East",Yemen,Taizz,"At Taiziyah",,"Ar Rabii",13.5972,43.8846,1,"Al Masirah; Yemen Data Project","Local partner-National","On 1 May 2020, pro-Hadi forces reportedly fired mortar shells at civilian houses in Ar Rabii area (At Taiziyah, Taizz), killing 1 woman and injuring 3 others.",1,1588614088,YEM
7074385,887,YEM52047,52047,"01 May 2020",2020,1,Battles,"Armed clash","Al Tilan Tribal Militia (Yemen)",,4,"Al Dahshal Ba al Harith Tribal Militia (Yemen)",,4,44,"Middle East",Yemen,Shabwah,Usaylan,,Usaylan,15.032,45.8283,2,"Yemen Data Project; Crater Sky","Local partner-National","On 1 May 2020, clashes erupted between Al Tilan and Al Dahshal Ba al Harith tribal militias over water resources in Al Ghiwayl valley of Usaylan district (Shabwah), resulted in 8 tribesmen killed, 5 from Al Dahshal and 3 from Al Tilan, and others injured.",8,1588614087,YEM
7074384,887,YEM52046,52046,"01 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Sadah,"Kitaf wa Al Boqee",,"Al Buqa",17.3317,44.6066,3,"Yemen Press Agency; Yemen Data Project","Local partner-National","On 1 May 2020, Saudi-led coalition airstrikes reportedly targeted Ash Shabakah area along the Yemeni-Saudi border. No fatalities nor injuries reported. *ACLED uses a Yemeni location close to the border to record events between pro-Houthi and anti-Houthi troops where the location reported within 20km of the border in Saudi Arabia has an unclear geoprecision.",0,1588614087,YEM
7074382,887,YEM52044,52044,"01 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Marib,Majzar,,Majzar,15.85,44.775,2,"Al Masirah; Yemen Data Project","Local partner-National","On 1 May 2020, 5 Saudi-led coalition airstrikes reportedly targeted Majzar district (Marib). No fatalities nor injuries reported.",0,1588614087,YEM
7074380,887,YEM52042,52042,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Popular Resistance",1,11,"Middle East",Yemen,"Al Jawf","Khabb wa ash Shaaf",,"As Sayl al Kanayis",15.8684,45.4359,2,"Mujtahid News; Yemen Data Project","Local partner-National","On 1 May 2020, pro-Houthi forces reportedly ambushed, assumedly with heavy weapons, pro-Hadi and Popular Resistance groups near the Al Kanais desert (Khabb wa ash Shaaf, Al Jawf), taking 13 prisoners and killing several of them. Unknown number of fatalities coded as 10.",10,1588614087,YEM
7074379,887,YEM52041,52041,"01 May 2020",2020,1,Battles,"Armed clash","National Resistance Forces",,3,"Military Forces of Yemen (2016-) Supreme Political Council",,1,13,"Middle East",Yemen,"Al Hudaydah",Hays,,Hays,13.9317,43.4831,2,"Al Amaliqah; Yemen Data Project","Local partner-National","On 1 May 2020, anti-Houthi National Resistance forces reportedly thwarted a pro-Houthi incursion northwest of Hays district (Al Hudaydah). No fatalities nor injuries reported.",0,1588614087,YEM
7074377,887,YEM52039,52039,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Ad Durayhimi",,"Ad Durayhimi",14.637,43.0551,2,"Yemen Data Project; Al Masirah","Local partner-National","On 1 May 2020, anti-Houthi National Resistance forces reportedly fired 8 mortar shells at Ad Dahfash village on the outskirts of Ad Durayhimi city (Al Hudaydah). No fatalities nor injuries reported.",0,1588614087,YEM
7074376,887,YEM52038,52038,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,,,0,10,"Middle East",Yemen,"Al Hudaydah","Ad Durayhimi",,"Ad Durayhimi",14.637,43.0551,2,"Al Amaliqah; Yemen Data Project","Local partner-National","On 1 May 2020, pro-Houthi forces reportedly fired mortar shells, caliber 12.7mm and 14.5mm machine guns, PK machine guns, and sniper shots at residential villages in Ad Durayhimi district. No fatalities nor injuries reported.",0,1588614087,YEM
7074372,887,YEM52033,52033,"01 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Al Qahrah",13.9634,44.6801,1,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 1 May 2020, the Joint Forces (coded as pro-Hadi and Southern Resistance) reportedly fired heavy machine guns at pro-Houthi bulldozers in Al Qahrah area (Qaatabah, Ad Dali), damaging one of them. Pro-Houthi forces are allegedly building a mountain road in the area, passing through the Hajlan-As Sili valley. No fatalities nor injuries reported.",0,1588614087,YEM
